[1/1/2018 20:28:15] /addskill Arkos, magic
[1/1/2018 20:28:15] /addskill Arkos, magic
[1/1/2018 20:28:15] /addskill Arkos, magic
[1/1/2018 20:28:15] /addskill Arkos, magic
[1/1/2018 20:28:16] /addskill Arkos, magic
[1/1/2018 20:28:16] /addskill Arkos, magic
[1/1/2018 20:28:16] /addskill Arkos, magic
[1/1/2018 20:28:16] /addskill Arkos, magic
[1/1/2018 20:28:16] /addskill Arkos, magic
[1/1/2018 20:28:17] /addskill Arkos, magic
[1/1/2018 20:28:17] /addskill Arkos, magic
[1/1/2018 20:28:17] /addskill Arkos, magic
[1/1/2018 20:28:17] /addskill Arkos, magic
[1/1/2018 20:28:17] /addskill Arkos, magic
[1/1/2018 20:28:18] /addskill Arkos, magic
[1/1/2018 20:28:18] /addskill Arkos, magic
[1/1/2018 20:28:18] /addskill Arkos, magic
[1/1/2018 20:28:18] /addskill Arkos, magic
[1/1/2018 20:28:18] /addskill Arkos, magic
[1/1/2018 20:28:19] /addskill Arkos, magic
[1/1/2018 20:28:19] /addskill Arkos, magic
[1/1/2018 20:28:19] /addskill Arkos, magic
[1/1/2018 20:28:19] /addskill Arkos, magic
[1/1/2018 20:28:19] /addskill Arkos, magic
[1/1/2018 20:28:20] /addskill Arkos, magic
[1/1/2018 20:28:20] /addskill Arkos, magic
[1/1/2018 20:28:20] /addskill Arkos, magic
[1/1/2018 20:28:20] /addskill Arkos, magic
[1/1/2018 20:28:20] /addskill Arkos, magic
[1/1/2018 20:28:21] /addskill Arkos, magic
[1/1/2018 20:28:21] /addskill Arkos, magic
[1/1/2018 20:28:21] /addskill Arkos, magic
[1/1/2018 20:28:21] /addskill Arkos, magic
[1/1/2018 20:28:21] /addskill Arkos, magic
[1/1/2018 20:28:22] /addskill Arkos, magic
[1/1/2018 20:28:22] /addskill Arkos, magic
[1/1/2018 20:28:22] /addskill Arkos, magic
[1/1/2018 20:28:22] /addskill Arkos, magic
[1/1/2018 20:28:22] /addskill Arkos, magic
[1/1/2018 20:28:23] /addskill Arkos, magic
[1/1/2018 20:28:23] /addskill Arkos, magic
[1/1/2018 20:28:23] /addskill Arkos, magic
[1/1/2018 20:28:23] /addskill Arkos, magic
[1/1/2018 20:28:23] /addskill Arkos, magic
[1/1/2018 20:28:24] /addskill Arkos, magic
[1/1/2018 20:28:24] /addskill Arkos, magic
[1/1/2018 20:28:24] /addskill Arkos, magic
[1/1/2018 20:28:24] /addskill Arkos, magic
[1/1/2018 20:28:25] /addskill Arkos, magic
[1/1/2018 20:28:25] /addskill Arkos, magic
[1/1/2018 20:28:25] /addskill Arkos, magic
[1/1/2018 20:28:25] /addskill Arkos, magic
[1/1/2018 20:28:25] /addskill Arkos, magic
[1/1/2018 20:28:26] /addskill Arkos, magic
[1/1/2018 20:28:26] /addskill Arkos, magic
[1/1/2018 20:28:26] /addskill Arkos, magic
[1/1/2018 20:28:26] /addskill Arkos, magic
[1/1/2018 20:28:27] /addskill Arkos, magic
[1/1/2018 20:28:27] /addskill Arkos, magic
[1/1/2018 20:28:27] /addskill Arkos, magic
[1/1/2018 20:28:27] /addskill Arkos, magic
[1/1/2018 20:28:28] /addskill Arkos, magic
[1/1/2018 20:28:28] /addskill Arkos, magic
[1/1/2018 20:28:28] /addskill Arkos, magic
[1/1/2018 20:28:28] /addskill Arkos, magic
[1/1/2018 20:28:28] /addskill Arkos, magic
[1/1/2018 20:28:29] /addskill Arkos, magic
[1/1/2018 20:28:29] /addskill Arkos, magic
[1/1/2018 20:28:29] /addskill Arkos, magic
[1/1/2018 20:28:29] /addskill Arkos, magic
[1/1/2018 20:28:30] /addskill Arkos, magic
[1/1/2018 20:28:30] /addskill Arkos, magic
[1/1/2018 20:28:30] /addskill Arkos, magic
[1/1/2018 20:28:30] /addskill Arkos, magic
[1/1/2018 20:28:31] /addskill Arkos, magic
[1/1/2018 20:28:31] /addskill Arkos, magic
[1/1/2018 20:28:31] /addskill Arkos, magic
[1/1/2018 20:28:31] /addskill Arkos, magic
[1/1/2018 20:28:32] /addskill Arkos, magic
[1/1/2018 20:28:32] /addskill Arkos, magic
[1/1/2018 20:28:32] /addskill Arkos, magic
[1/1/2018 20:28:32] /addskill Arkos, magic
[1/1/2018 20:28:32] /addskill Arkos, magic
[1/1/2018 20:28:33] /addskill Arkos, magic
[1/1/2018 20:28:34] /addskill Arkos, magic
[1/1/2018 20:28:34] /addskill Arkos, magic
[1/1/2018 20:28:35] /addskill Arkos, magic
[1/1/2018 20:28:35] /addskill Arkos, magic
[1/1/2018 20:28:35] /addskill Arkos, magic
[1/1/2018 20:28:36] /addskill Arkos, magic
[1/1/2018 20:28:36] /addskill Arkos, magic
[1/1/2018 20:28:54] /addskill Arkos, magic
